Name,Market_cap,Price,Change(24)
Bitcoin,"$170,078,367,433","$9,228.37",0.16%
Ethereum,"$26,794,791,544",$239.85,0.12%
Tether,"$9,172,471,017",$0.998311,-0.15%
XRP,"$8,874,957,977",$0.200529,1.20%
Bitcoin Cash,"$4,363,959,737",$236.41,-0.25%
Bitcoin SV,"$3,365,584,691",$182.34,0.27%
Cardano,"$3,220,349,283",$0.124208,7.03%
Litecoin,"$2,878,955,751",$44.29,0.17%
Binance Coin,"$2,735,430,925",$17.59,3.60%
Crypto.com Coin,"$2,620,581,081",$0.144835,1.67%
EOS,"$2,446,034,213",$2.62,0.19%
Chainlink,"$2,149,346,246",$6.14,3.30%
Tezos,"$1,998,418,133",$2.72,9.19%
Stellar,"$1,935,809,709",$0.094680,8.49%
TRON,"$1,233,154,707",$0.018493,2.19%
Monero,"$1,210,922,489",$68.69,1.65%
UNUS SED LEO,"$1,196,783,810",$1.20,-1.52%
USD Coin,"$1,099,972,638",$0.998198,-0.08%
VeChain,"$1,019,115,061",$0.018377,13.67%
Huobi Token,"$912,863,952",$4.19,0.02%
Cosmos,"$783,311,229",$4.11,4.58%
Neo,"$766,467,910",$10.87,2.09%
Ethereum Classic,"$757,204,575",$6.51,1.99%
IOTA,"$697,358,009",$0.250891,1.23%
Dash,"$692,101,795",$72.14,1.19%
Zcash,"$532,556,063",$55.65,0.43%
Maker,"$465,735,682",$463.15,2.83%
Compound,"$456,292,530",$178.15,1.19%
Dogecoin,"$455,341,595",$0.003632,-5.38%
Ontology,"$451,473,304",$0.647976,5.06%
NEM,"$418,466,310",$0.046496,0.56%
HedgeTrade,"$399,769,931",$1.39,1.46%
Basic Attention Token,"$380,883,620",$0.257187,2.20%
Kyber Network,"$302,465,520",$1.65,2.54%
0x,"$300,179,096",$0.427304,3.88%
OKB,"$299,235,304",$4.99,1.32%
FTX Token,"$287,976,228",$3.05,1.64%
DigiByte,"$284,552,763",$0.021342,-0.05%
Aave,"$276,116,281",$0.212397,16.99%
Paxos Standard,"$244,744,422",$0.999153,-0.06%
Synthetix Network Token,"$239,782,191",$2.76,-1.05%
ICON,"$223,923,933",$0.408890,6.87%
THETA,"$223,701,439",$0.256980,7.30%
Algorand,"$221,633,171",$0.287158,19.71%
OMG Network,"$215,890,224",$1.54,0.12%
The Midas Touch Gold,"$210,710,982",$0.055158,-2.01%
Augur,"$209,618,332",$19.06,-0.83%
Zilliqa,"$203,832,961",$0.019853,2.00%
Dai,"$200,064,280",$1.01,0.06%
Qtum,"$198,715,953",$2.05,2.11%
Hedera Hashgraph,"$196,910,307",$0.041422,1.86%
Decred,"$183,076,493",$15.60,-1.51%
Hyperion,"$182,497,872",$0.576128,13.12%
Bitcoin Gold,"$174,063,798",$9.94,7.99%
Binance USD,"$165,631,873",$0.998755,-0.14%
Bitcoin Diamond,"$162,823,224",$0.873080,3.60%
Ren,"$154,822,862",$0.178693,1.96%
